Shane Sowers,3975770156,60
Gregory Pacheco,1535724044,57
Christopher Shuttleworth,4874856612,59
Betty Troupe,9510881536,67
Patricia Long,4041304436,34
Edwin Isbell,6700359745,78
Jeffery Hardy,4240462739,81
Jimmy Friend,8375970165,79
Jodie Jones,7075322780,49
Joey Schroepfer,3690373446,62
Terry Rowan,4623039309,5
Vickie Brundidge,4503599396,91
Rose Osborne,3883199030,30
Tam Leslie,1664421920,14
Tanya Ciccone,4969169670,33
Frances Morton,7750257019,53
Hilda Cyr,2596413950,100
Gary Hines,8610718384,67
Jodie Jones,7075322780,92
Gertrude Krum,1896083577,76
Jillian Delacruz,3181624027,65
Dewey Stanley,4378276074,42
Julie Medez,7427679239,40
Elouise Hollin,2604646662,42
Humberto Hull,4462330289,26
Steve Steward,5204580635,19
Frank Charles,9275616216,51
Melissa Vaillancourt,5223366750,36
Kenneth Feliciano,7311844146,36
Horace Niess,1624580641,28
Elbert Fisher,7655325889,55
Maureen Granger,2489225305,73
Tammy Boozer,2060358489,21
Beatrice Cline,4573520473,3
John Bradshaw,6082423438,75
Keith Sciabica,4225392987,24
Janita Sawyer,5027034106,98
Leonard Gregory,4785101640,41
Bessie Holtmeier,1442371924,51
Jannet Kornegay,2158383702,74
Marjorie Burton,6289207944,29
Harold Hartung,2848971310,86
Joanne Aleman,7135201934,20
Bernadette Bragg,1756068811,37
Frances Morton,7750257019,32
Cynthia Wildey,6549349382,21
Duane Cano,7023524588,61
Jeffrey Mercer,3987499727,69
Clay Mathis,7497187518,10
Norman Fleury,5450840734,23
Peter Hightower,8410542891,16
Margie Kincaide,1573763089,29
Christopher Shuttleworth,4874856612,100
Haley Burgher,4122544949,75
Norma Millett,9985473498,39
Jillian Delacruz,3181624027,5
Terry Rowan,4623039309,28
Ricky Bailey,2211285164,68
Armando Faurrieta,1511784860,35
Ann Dickerson,3386868080,11
Tiffany Perry,4362772926,62
Miguel Ibanez,8351689678,49
Patricia Long,4041304436,3
Elizabeth Anderson,2745764348,70
Traci Nassif,7672922299,89
Gladys Degroot,5180056530,61
Beatriz Smith,8494213477,32
Brian Roundtree,9684846961,77
Adele Torres,3856562540,85
Patti Howard,8207879173,35
Ruth Ramon,8114094148,99
Michelle Samford,9969694911,20
Rosalina Briley,8815192883,24
Alisia Mitchell,4390836851,88
Constance Drewry,8700262567,72
Patti Howard,8207879173,20
Helene Fink,7941800949,16
Warren Wood,6101884929,1
Wilma Pinon,1584181581,66
Moises Major,6114661239,72
Alan Rufener,1781106958,23
Maureen Granger,2489225305,78
Darby Crosier,5119642089,72
Ray Estrada,3328045721,48
Cindy Burns,5216861144,2
Walter Pruitt,3715794987,97
Frankie Hamilton,3873421755,82
Mabel Degraff,5995223741,60
Dorthy Charpentier,2879818089,58
Teresa Royal,9051861311,68
Kelvin Matthew,7488064532,61
Ronnie Mcfadden,5066939316,71
Karina Shultz,3599000594,86
Shane Sowers,3975770156,53
Luis Bristow,3273106324,5
Lillian Broddy,7375528564,80
Jean Morris,5105549559,4
Miguel Ibanez,8351689678,9
Rickey Crist,9726409394,31
Armando Faurrieta,1511784860,25
