Ellen Bernier,6878949796,14
Rosalia Kurz,4909079217,11
Jodi Bradburn,5424206589,19
Isabel Hartman,3047747804,19
Kirsten Yang,8526444944,90
Shaunda Newton,2800210790,100
Joyce Lyons,5992336354,77
Julia Sansburn,2180295475,48
Jesus Heefner,5231546952,39
Letha Turner,4237368204,81
Clara Disimone,2967444208,37
Sarah Acosta,6415452422,23
Yolanda Torpey,1895023537,93
Douglas Oneal,3074036453,64
Christine Clark,6686089749,43
Albina Viens,4787495690,30
Ted Conklin,1029415299,62
Alan Howard,9399441984,9
Norman Solomon,3061230256,84
Curtis Pridgen,4008092492,58
Miriam Rentschler,6074798755,28
Vivian Swanson,7971027480,52
Ola Littlewood,9581496604,48
Roberta Gibson,6214971625,65
Joshua Avitia,7949216258,36
John Wilson,8911791078,63
Paul Sun,6932062639,20
Sheryl Hutchison,4653374013,85
Ester Anderson,7846707590,86
Ivory Gillaspie,8687461185,25
Helene Hong,6370762874,98
Bryce Delaney,3911862607,19
Chelsea Drake,9160413664,65
Kelly Zettlemoyer,8371087716,77
Ethel Bagley,8481409615,81
Teri Haddock,9632594743,91
Cora Pendarvis,7031787665,80
Herschel Kingsbury,2688139579,40
Catherine Ford,8301001417,37
Willie Do,8815653104,91
Freida Pogue,7015377715,54
Kirsten Yang,8526444944,24
Clorinda Freiler,3378807032,47
Jared Corbin,5500813636,2
Jessica Cummins,1104024058,70
Isabella Waller,2370241126,32
Latesha Gillies,4356807220,65
Derek Broady,7382698515,45
Alva Meister,3676307981,27
Lisa Jenkins,4904338259,86
Krista Giunta,9600211740,68
Ilene Shelton,5412708752,22
Sabrina Araujo,1141686510,98
Matthew Ernst,6625534167,8
Mark Ferguson,2357920735,37
Latashia Hildebrandt,2329508031,29
Lawrence Navejas,9469391370,37
Yvette Mcmorran,7120186336,5
Eric Reigle,3956489075,94
Arielle Caton,2457140087,53
Carlene Hudock,7834966514,17
Dale Taube,8214340376,97
Arnold Valenziano,7445383195,23
Brian Gill,8680047499,67
Shirley Locket,6200472378,53
Johnny Bittinger,6910281750,17
Michael Sotello,8734094224,9
Ramon Hardy,6628347926,9
Jennifer Tallman,6666898203,36
Bernice Wyss,1545597502,72
Carrie Fiorentino,6259249156,36
Sonya Hawkins,5255635901,83
Julie Zuniga,6487198463,31
Margarita Medeiros,9413868181,64
Beverly Beard,3694979461,88
Carolyn Hobgood,5981583951,6
Cora Pendarvis,7031787665,82
Eric Reigle,3956489075,31
Anthony Mary,9432332373,19
Fiona Steel,4480283364,21
Ruby Cobb,1830190004,29
Ben Lowe,5977191131,18
Gary Gallup,2723762609,4
Ramona Moore,1167133193,71
Mavis Rasmussen,6530364041,1
Tara Ward,9677314498,86
Jim Chafin,9478693165,8
Cheryl Hodgson,5281293009,51
Jennie Bovell,8570485403,94
Lissette Caplinger,9563163627,39
Larry Thomas,7926900873,18
Demetria Noonan,6732575215,29
Diana Umbaugh,4836855935,100
Jerry Pompa,4004266086,88
Jeannie Murry,9393588821,27
Gary Gallup,2723762609,9
Yvonne Lane,4985856421,23
Bettye Orahood,9587835834,87
Keisha Eagan,5694982994,17
Beatrice Fell,2144544909,53
Lewis Cox,6747941760,89
Joel Calle,2961766600,4
Betty Bromley,5385418980,27
Andrea Blomdahl,6737352720,41
Wendi Joiner,2846881877,8
